ano,sigla_uf,id_municipio,nome,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2019,PB,2509057,Marcação,estadual,medio,todos (1-4),70.5,0.71511102,233.64,235.35,3.494319,2.5,2.4
2019,PB,2501708,Barra de São Miguel,estadual,medio,todos (1-4),84.2,0.84188998,254.91,258.35,4.137516,3.5,3.0
2019,PB,2511509,Pilar,estadual,medio,todos (1-4),73.4,0.720505,247.14,259.42,4.0442548,2.9,3.0
2019,PB,2509008,Manaíra,publica,medio,todos (1-4),80.0,0.80096501,254.44,259.45,4.1472321,3.3,3.2
2019,PB,2507606,Juarez Távora,publica,medio,todos (1-4),70.4,0.668109,255.57,254.72,4.092154,2.7,2.9
2019,PB,2509156,Marizópolis,estadual,medio,todos (1-4),94.7,0.94208997,271.66,263.82,4.454515,4.2,3.0
2021,PB,2514552,São José de Princesa,estadual,medio,todos (1-4),100.0,1.0,239.33,247.04,3.749094,3.7,
2021,PB,2516805,Triunfo,estadual,medio,todos (1-4),100.0,1.0,271.12,286.19,4.781661,4.8,
2017,PB,2514206,São José da Lagoa Tapada,publica,medio,todos (1-4),82.7,0.83547598,233.0,231.77,3.431597,2.9,
2017,PB,2505303,Curral Velho,publica,medio,todos (1-4),72.9,0.73389298,257.85,235.94,3.843189,2.8,
2017,PB,2512705,Remígio,publica,medio,todos (1-4),66.7,0.677504,253.66,262.66,4.1841912,2.8,
2017,PB,2512002,Pocinhos,publica,medio,todos (1-4),75.0,0.765715,259.07,263.95,4.279635,3.3,
2017,PB,2515104,São Sebastião de Lagoa de Roça,publica,medio,todos (1-4),79.8,0.78905702,254.41,258.19,4.1278081,3.3,
2017,PB,2500775,Aparecida,publica,medio,todos (1-4),85.8,0.86022198,261.1,269.19,4.3864388,3.8,
2017,PB,2504850,Coxixola,publica,medio,todos (1-4),91.0,0.91144598,265.94,252.36,4.2024708,3.8,
2017,PB,2507804,Junco do Seridó,publica,medio,todos (1-4),89.0,0.89716899,252.36,265.16,4.2033572,3.8,
2017,PB,2513356,Santa Inês,estadual,medio,todos (1-4),91.4,0.92669803,248.94,251.71,3.9541171,3.7,
2017,PB,2512036,Poço Dantas,estadual,medio,todos (1-4),79.3,0.799842,222.61,226.61,3.2085741,2.6,
2017,PB,2512903,Rio Tinto,estadual,medio,todos (1-4),74.8,0.74957103,229.63,233.25,3.4067111,2.6,
2017,PB,2507002,Itaporanga,estadual,medio,todos (1-4),75.4,0.78223503,251.82,248.19,3.9418809,3.1,
2017,PB,2507002,Itaporanga,publica,medio,todos (1-4),75.5,0.79013699,251.82,248.19,3.9418809,3.1,
2019,PB,2503902,Camalaú,publica,medio,todos (1-4),94.5,0.94837999,275.39,280.97,4.7634888,4.5,3.9
2019,PB,2514909,São Mamede,publica,medio,todos (1-4),97.1,0.96981603,291.98,289.13,5.11865,5.0,5.2
2019,PB,2506004,Esperança,estadual,medio,todos (1-4),63.6,0.63922399,269.02,270.26,4.5139842,2.9,2.9
2019,PB,2514503,São José de Piranhas,publica,medio,todos (1-4),84.0,0.834921,268.58,271.85,4.5316062,3.8,3.5
2019,PB,2502300,Bom Sucesso,publica,medio,todos (1-4),97.3,0.97460502,270.11,271.35,4.54561,4.4,3.1
2019,PB,2503001,Caaporã,estadual,medio,todos (1-4),81.4,0.81156999,241.02,249.42,3.808749,3.1,3.1
2019,PB,2505006,Cubati,estadual,medio,todos (1-4),66.3,0.61779499,290.52,283.01,5.0068178,3.1,3.9
2019,PB,2505006,Cubati,publica,medio,todos (1-4),66.3,0.61779499,290.52,283.01,5.0068178,3.1,3.9
2019,PB,2504009,Campina Grande,publica,medio,todos (1-4),80.3,0.84327501,281.45,286.58,4.9327331,4.2,3.6
2021,PB,2502151,Boa Vista,publica,medio,todos (1-4),100.0,1.0,239.56,252.32,3.831366,3.8,
2017,PB,2506400,Gurinhém,estadual,medio,todos (1-4),79.0,0.79636103,220.94,222.72,3.1268859,2.5,
2017,PB,2501401,Baía da Traição,publica,medio,todos (1-4),93.9,0.93800199,222.88,226.66,3.212965,3.0,
2017,PB,2500700,São João do Rio do Peixe,estadual,medio,todos (1-4),72.7,0.73477602,250.55,247.58,3.914912,2.9,
2017,PB,2511301,Piancó,publica,medio,todos (1-4),65.6,0.66629797,238.27,230.52,3.487051,2.3,
2017,PB,2500403,Alagoa Nova,publica,medio,todos (1-4),69.4,0.69752699,253.33,254.39,4.055903,2.8,
2017,PB,2506608,Ibiara,estadual,medio,todos (1-4),78.1,0.78332901,244.07,232.05,3.5912659,2.8,
2017,PB,2511004,Pedra Branca,publica,medio,todos (1-4),73.1,0.73941499,271.64,261.94,4.42594,3.3,
2017,PB,2506004,Esperança,publica,medio,todos (1-4),68.5,0.69617897,252.33,246.86,3.9291241,2.7,
2017,PB,2517407,Zabelê,publica,medio,todos (1-4),77.5,0.75353599,254.78,265.89,4.248415,3.2,
2017,PB,2505006,Cubati,estadual,medio,todos (1-4),82.1,0.82257098,271.72,265.27,4.4770641,3.7,
2017,PB,2510709,Passagem,estadual,medio,todos (1-4),93.9,0.94008797,283.45,268.73,4.6935978,4.4,
2017,PB,2501807,Bayeux,estadual,medio,todos (1-4),69.3,0.71627301,239.69,236.13,3.590977,2.6,
2017,PB,2509396,Maturéia,publica,medio,todos (1-4),84.6,0.85398698,221.63,213.28,2.9954,2.6,
2019,PB,2512762,Riachão do Poço,publica,medio,todos (1-4),66.5,0.68006098,262.82,265.1,4.349369,3.0,2.6
2019,PB,2506103,Fagundes,estadual,medio,todos (1-4),80.8,0.81053799,254.72,252.38,4.045186,3.3,3.8
2019,PB,2515302,Sapé,estadual,medio,todos (1-4),75.7,0.79262602,253.16,260.42,4.1437759,3.3,2.9
2019,PB,2502151,Boa Vista,estadual,medio,todos (1-4),89.9,0.90975499,255.16,259.16,4.152863,3.8,3.8
2019,PB,2501906,Belém,publica,medio,todos (1-4),90.4,0.90614402,246.27,265.51,4.123353,3.7,2.9
2021,PB,2501302,Aroeiras,publica,medio,todos (1-4),100.0,1.0,241.1,246.53,3.766319,3.8,
2021,PB,2510659,Parari,publica,medio,todos (1-4),100.0,1.0,251.39,254.58,4.031351,4.0,
2021,PB,2514206,São José da Lagoa Tapada,estadual,medio,todos (1-4),100.0,1.0,268.08,260.3,4.351389,4.4,
2021,PB,2515500,Serra Branca,estadual,medio,todos (1-4),98.3,0.98386,271.66,271.95,4.576071,4.5,
2017,PB,2502102,Boa Ventura,publica,medio,todos (1-4),88.5,0.89342701,231.22,225.6,3.3143721,3.0,
2017,PB,2507507,João Pessoa,federal,medio,todos (1-4),82.0,0.82305902,339.1,330.32,6.3972049,5.3,
2017,PB,2500577,Algodão de Jandaíra,publica,medio,todos (1-4),86.4,0.84753102,228.16,223.97,3.2469931,2.8,
2017,PB,2509602,Monte Horebe,publica,medio,todos (1-4),91.4,0.91340101,269.42,267.64,4.4802299,4.1,
2017,PB,2510105,Nova Floresta,estadual,medio,todos (1-4),86.4,0.87296498,251.05,258.6,4.086895,3.6,
2019,PB,2500809,Araçagi,estadual,medio,todos (1-4),88.0,0.88110799,250.13,252.38,3.98101,3.5,3.1
2019,PB,2502805,Brejo do Cruz,publica,medio,todos (1-4),81.3,0.82047701,258.97,257.73,4.184967,3.4,2.8
2019,PB,2509503,Montadas,publica,medio,todos (1-4),90.7,0.91123301,266.86,267.76,4.4462209,4.1,3.6
2019,PB,2516508,Taperoá,publica,medio,todos (1-4),80.1,0.80811203,289.79,288.55,5.0794988,4.1,3.1
2019,PB,2502102,Boa Ventura,publica,medio,todos (1-4),85.1,0.85887802,257.26,263.35,4.2452221,3.6,3.2
2021,PB,2503902,Camalaú,publica,medio,todos (1-4),100.0,1.0,287.25,283.97,4.974972,5.0,
2021,PB,2504702,Congo,publica,medio,todos (1-4),100.0,1.0,275.47,274.44,4.666858,4.7,
2021,PB,2507705,Juazeirinho,publica,medio,todos (1-4),98.6,0.985284,265.68,277.07,4.568729,4.5,
2017,PB,2509305,Mataraca,publica,medio,todos (1-4),63.3,0.62722802,223.35,221.38,3.1406741,2.0,
